Issue Type,Region,How Resolved,No Of Parcels,Days To Resolve
Delivery Issue,South West,Full Refund Issued,5,3
Customer Account Issue,West Midlands,Account Updated,3,1
Service Complaint,London,Full Refund Issued,7,2
Collection Issue,London,Partial Refund Issued,9,3
Delivery Issue,North Wales,Partial Refund Issued,8,1
Customer Account Issue,London,Automated Password/Username Reset,7,3
Delivery Issue,South East,Full Refund Issued,1,2
Service Complaint,East of England,Full Refund Issued,8,4
Delivery Issue,North East,Full Refund Issued,3,2
Delivery Issue,East Midlands,Full Refund Issued,5,4
Delivery Issue,East Midlands,Full Refund Issued,3,1
Service Complaint,South East,Partial Refund Issued,5,4
Delivery Issue,South East,Full Refund Issued,1,2
Collection Issue,South West,Partial Refund Issued,5,1
Collection Issue,South West,Partial Refund Issued,5,2
Collection Issue,West Midlands,Full Refund Issued,1,3
Delivery Issue,Scotland,Partial Refund Issued,3,1
Customer Account Issue,Yorkshire and The Humber,Account Updated,5,1
Service Complaint,South East,Full Refund Issued,8,4
Delivery Issue,South Wales,Partial Refund Issued,10,1
Collection Issue,London,Full Refund Issued,2,4
Customer Account Issue,East Midlands,Account Updated,3,4
Delivery Issue,North East,Partial Refund Issued,3,4
Delivery Issue,West Midlands,Full Refund Issued,1,4
Delivery Issue,South East,Full Refund Issued,4,2
Service Complaint,London,Full Refund Issued,3,4
Collection Issue,East of England,Full Refund Issued,9,2
Delivery Issue,North Wales,Full Refund Issued,2,3
Service Complaint,Yorkshire and The Humber,Partial Refund Issued,6,4
Delivery Issue,North West,Partial Refund Issued,8,4
Service Complaint,South East,Partial Refund Issued,9,1
Customer Account Issue,London,Manual Password/Username Reset,2,3
Service Complaint,East Midlands,Full Refund Issued,9,2
Delivery Issue,East Midlands,Partial Refund Issued,8,3
Delivery Issue,Yorkshire and The Humber,Partial Refund Issued,2,3
Service Complaint,South East,Partial Refund Issued,2,4
Delivery Issue,South Wales,Partial Refund Issued,8,1
Customer Account Issue,London,Automated Password/Username Reset,4,2
Customer Account Issue,Northern Ireland,Manual Password/Username Reset,5,4
Service Complaint,South Wales,Full Refund Issued,4,4
Service Complaint,East of England,Partial Refund Issued,7,2
Collection Issue,East of England,Partial Refund Issued,8,4
Customer Account Issue,North East,Automated Password/Username Reset,5,1
Delivery Issue,South West,Full Refund Issued,3,2
Service Complaint,South East,Partial Refund Issued,10,4
Delivery Issue,South East,Partial Refund Issued,10,3
Service Complaint,Yorkshire and The Humber,Partial Refund Issued,2,1
Customer Account Issue,North West,Automated Password/Username Reset,8,2
Delivery Issue,South West,Partial Refund Issued,1,1
Collection Issue,North West,Partial Refund Issued,9,3
Service Complaint,North Wales,Partial Refund Issued,3,4
Customer Account Issue,Yorkshire and The Humber,Account Updated,5,2
Customer Account Issue,East Midlands,Automated Password/Username Reset,4,3
Customer Account Issue,South East,Manual Password/Username Reset,7,2
Delivery Issue,South West,Full Refund Issued,5,3
Delivery Issue,South East,Full Refund Issued,9,2
Customer Account Issue,South Wales,Manual Password/Username Reset,4,2
Delivery Issue,West Midlands,Partial Refund Issued,3,4
Service Complaint,London,Full Refund Issued,2,3
